"","code","pages","name","doc_name","url","mean_nchar","mean_words","mean_kango","mean_wago"
"36",112429,16,"埼玉県日高市","令和6年度 保育のご案内","https://www.city.hidaka.lg.jp/material/files/group/18/R6hoikunogoannai.pdf",759.5,462.25,0.378312247478765,0.344065611156951
"37",112437,40,"埼玉県吉川市","令和6年度  保育施設利用のご案内","https://www.city.yoshikawa.saitama.jp/index.cfm/25,101679,c,html/101679/20230830-200548.pdf",774.1,464.675,0.42722974443264,0.35268043091031
"38",112453,4,"埼玉県ふじみ野市","令和6年度ふじみ野市保育所利用のご案内","https://www.city.fujimino.saitama.jp/material/files/group/26/r6hoikusyoriyounogoannai.pdf",1726.25,1077.25,0.492905810602039,0.436095078979136
"39",112461,26,"埼玉県白岡市","保育所入所のご案内(令和6年度版)","https://www.city.shiraoka.lg.jp/material/files/group/41/R6_1-25_annai.pdf",609.807692307692,384,0.416342500120023,0.402338678061852
"40",121002,20,"千葉県千葉市","令和6年度保育園・認定こども園等利用（保育認定）のご案内","https://www.city.chiba.jp/kodomomirai/yojikyoiku/unei/documents/riyougoannai.pdf",947.5,582.05,0.448459170676231,0.440429670551677
"41",122025,14,"千葉県銚子市","令和6年度　保育所（園）・認定こども園　新規入所（園）案内","https://www.city.choshi.chiba.jp/content/000020826.pdf",805.857142857143,497.285714285714,0.41781285850442,0.454657684263474
"42",122033,79,"千葉県市川市","保育施設利用のご案内（令和5年7月改訂版）","https://www.city.ichikawa.lg.jp/common/chi03/file/0000436951.pdf",880.645569620253,525.949367088608,0.399429450925212,0.333070848163798
"43",122041,110,"千葉県船橋市","船橋市保育所等利用のご案内","https://www.city.funabashi.lg.jp/kodomo/hoiku/002/p054970_d/fil/annnai.pdf",923.336363636364,555.681818181818,0.423985178707013,0.31244865296351
"44",122068,31,"千葉県木更津市","令和6年度木更津市保育施設入園のご案内","https://www.city.kisarazu.lg.jp/_res/projects/default_project/_page_/001/000/905/panfuretto.pdf",0,0,NA,NA
"45",122076,27,"千葉県松戸市","令和6年度松戸市保育所（園）利用申込案内","https://www.city.matsudo.chiba.jp/kosodate/matsudodekosodate/kosodatenavi/hoikuenyouchien/shinseisho.files/R6_moushikomiannai_20231201.pdf",1236.51851851852,718.851851851852,0.431130782070629,0.308284034483267
"46",122084,24,"千葉県野田市","2024年度（令和6年度）保育所等入所案内","https://www.city.noda.chiba.jp/_res/projects/default_project/_page_/001/009/310/2024nyuusyoannai.pdf",965.666666666667,603.583333333333,0.429758145536828,0.43218903207472
