"city","code","title","url","pages"
"神奈川県相模原市",141500,"令和6年度認定こども園・保育所等施設利用申込みのご案内","https://www.city.sagamihara.kanagawa.jp/_res/projects/default_project/_page_/001/006/704/r06_syorui/00.pdf",26
"神奈川県鎌倉市",142042,"令和6年度保育所等の入所申込のしおり","https://www.city.kamakura.kanagawa.jp/hoiku/documents/r6nyuushomoushikomishiori.pdf",34
"神奈川県藤沢市",142051,"令和６年度ふじさわ認可保育施設申込ナビ","https://www.city.fujisawa.kanagawa.jp/hoiku/kenko/kosodate/hoikuen/documents/00navi6.pdf",47
"神奈川県伊勢原市",142140,"保育・教育施設利用ガイドブック　令和5年9月改訂","https://www.city.isehara.kanagawa.jp/docs/2016072900023/file_contents/R6guidebook.pdf",43
"神奈川県座間市",142166,"保育所等利用申込みの御案内","https://www.city.zama.kanagawa.jp/_res/projects/default_project/_page_/001/008/962/2024_3.pdf",36
"新潟県新潟市",151009,"令和６年度４月入園のてびき","https://www.city.niigata.lg.jp/kosodate/ninshin/life_stage/azuketai/ninnkahoikushisetsu/R6_04nyuen.files/R6_tebiki.pdf",40
"富山県富山市",162019,"令和６年度入所用 富山市保育所等入所のご案内","https://ikusapotoyama.city.toyama.lg.jp/lgarticle/file?file=14838_R6nyusyo.pdf",54
"石川県金沢市",172014,"-","",0
"福井県福井市",182010,"令和６年度 新規入園に係る申請手続きについて","https://kosodate-web.com/wada/files/ph477901002.pdf?1698187657",2
"山梨県甲府市",192015,"-","",0
"長野県長野市",202011,"令和6年度保育利用版利用のご案内","https://www.city.nagano.nagano.jp/documents/14131/hoiku2024-2.pdf",36
"岐阜県岐阜市",212016,"令和6年度保育所・認定こども園等入所あんない","https://www.city.gifu.lg.jp/_res/projects/default_project/_page_/001/012/413/nyusyoannai.pdf",46
"静岡県静岡市",221007,"令和6年度 2024年度 認定こども園・保育園 小規模保育施設・事業所内保育施設 入園申込みのしおり
","https://www.city.shizuoka.lg.jp/000991226.pdf",8
"静岡県浜松市",221309,"令和6年度認可保育施設利用案内","https://www.hamamatsu-pippi.net/fs/1/0/6/7/8/6/_/R6_riyoannai.pdf",70
"愛知県名古屋市",231002,"令和6年度利用のご案内","https://www.city.nagoya.jp/kodomoseishonen/cmsfiles/contents/0000133/133178/r6goannnai.pdf",28
"三重県津市",242012,"令和6年度保育所等利用のご案内","https://www.info.city.tsu.mie.jp/www/contents/1001000008114/simple/R6nyuusyoannnai.pdf",27
"滋賀県大津市",252018,"令和6年度　保育所・認定こども園・地域型保育施設　利用申込の手引き","https://www.city.otsu.lg.jp/material/files/group/10/R6nyusho_tebiki20230915.pdf",36
"滋賀県守山市",252077,"令和６年度 保育所入所のしおり","https://www.city.moriyama.lg.jp/_res/projects/default_project/_page_/001/002/344/shiori1_23.pdf",25
"滋賀県栗東市",252085,"令和6年度入園案内","https://www.city.ritto.lg.jp/material/files/group/27/20230825R6nyuuennannnai.pdf",44
"京都府京都市",261009,"令和6年度保育利用申込みの御案内","https://www.city.kyoto.lg.jp/hagukumi/cmsfiles/contents/0000274/274712/R604annai.pdf",20
"京都府向日市",262081,"令和6年度保育所等入所申込みのしおり","https://www.city.muko.kyoto.jp/ikkrwebBrowse/material/files/group/19/nyusyosiori6.pdf",24
"大阪府大阪市",271004,"令和6年度　保育施設・保育事業利用の案内","https://www.city.osaka.lg.jp/kodomo/cmsfiles/contents/0000605/605326/01annnai.pdf",28
"大阪府堺市",271403,"令和6年度　利用のご案内","https://www.city.sakai.lg.jp/kosodate/hughug/hoiku/moushikomi/r6/r6riyouannnaihaifu.files/R6riyouannnai.pdf",72
"大阪府東大阪市",272272,"令和6年度 保育所等申込のてびき","https://www.city.higashiosaka.lg.jp/kosodate/cmsfiles/contents/0000028/28302/1201tebiki.pdf",22
"大阪府吹田市",272051,"令和6年度保育所等利用申込案内","https://www.city.suita.osaka.jp/_res/projects/default_project/_page_/001/023/914/R6annai2.pdf",36
"兵庫県神戸市",281000,"2024年度（令和6年度）幼稚園・保育所・認定こども園等利用ガイド","https://www.city.kobe.lg.jp/documents/3442/r6_riyougaido.pdf",7
"兵庫県姫路市",282014,"令和6年度　教育・保育施設利用のてびき","https://www.city.himeji.lg.jp/bousai/cmsfiles/contents/0000025/25301/6tebiki.pdf",52
"兵庫県西宮市",282049,"保育所・認定こども園・地域型保育事業所（2号・3号認定）の利用申込案内","https://www.nishi.or.jp/kosodate/hoikujo/hoikujo/riyotetsuzuki/moshikomi.files/R6_riyoumousikomiannai.pdf",8
"兵庫県明石市",282031,"2024年度明石市保育施設利用のしおり","https://www.city.akashi.lg.jp/kodomo/ikusei_shitsu/kodomo-kyoiku/kosodate/hoikujo/documents/2024hoikushisetsunoshiori2.pdf",44
"兵庫県尼崎市",282022,"令和6年度4月入所保育施設等の利用申込みのご案内とLINE予約説明書","https://www.city.amagasaki.hyogo.jp/_res/projects/default_project/_page_/001/034/793/annai.line.pdf",4
"兵庫県宝塚市",282146,"保育施設利用のご案内","https://www.city.takarazuka.hyogo.jp/_res/projects/default_project/_page_/001/027/922/20240325_sassi.pdf",50
"奈良県奈良市",292010,"入園のしおり（奈良市）","https://www.city.nara.lg.jp/uploaded/attachment/169765.pdf",36
"奈良県生駒市",292095,"令和6年生駒市保育所等入所案内（2.3号認定用）","https://www.city.ikoma.lg.jp/cmsfiles/contents/0000033/33445/annai.pdf",52
"和歌山県和歌山市",302015,"令和6年度 保育所・認定こども園（保育部分） 利用申込ご案内","https://www.city.wakayama.wakayama.jp/_res/projects/default_project/_page_/001/001/801/2024riyouannai.pdf",12
"鳥取県鳥取市",312011,"令和6年度保育所入所案内","https://www.city.tottori.lg.jp/www/contents/1695615534786/simple/nyuusyoannnai.pdf",9
"島根県松江市",322016,"【令和6年度】保育所等入所のてびき","https://www.city.matsue.lg.jp/material/files/group/131/R6tebiki1.pdf",28
"岡山県岡山市",331007,"令和6年度保育利用ガイド","https://www.city.okayama.jp/kurashi/cmsfiles/contents/0000012/13000/R06hoikugaido1k.pdf
https://www.city.okayama.jp/kurashi/cmsfiles/contents/0000012/13000/R06hoikugaido2k.pdf
https://www.city.okayama.jp/kurashi/cmsfiles/contents/0000012/13000/R06hoikugaido3k.pdf",0
"岡山県倉敷市",332020,"令和6年度子どものための教育・保育給付認定申請及び特定教育・保育施設等利用申込み案内","https://www.city.kurashiki.okayama.jp/secure/109707/R6annai.pdf",39
"広島県広島市",341002,"保育園等のごあんない","https://www.city.hiroshima.lg.jp/uploaded/attachment/224696.pdf",4
